NBR	Gene_stable_ID	Gene_name
0	ENSG00000276626	RF00100
1	ENSG00000201317	RNU4-59P
2	ENSG00000200823	SNORD114-2
3	ENSG00000221598	MIR1249
4	ENSG00000199595	RF00019
5	ENSG00000200839	RNA5SP48
6	ENSG00000222532	MIR1468
7	ENSG00000201294	RNU6-1019P
8	ENSG00000264901	MIR3616
9	ENSG00000200605	RF00019
10	ENSG00000207395	RF00019
11	ENSG00000206734	RF00019
12	ENSG00000201050	RNU6-668P
13	ENSG00000199065	MIR101-2
14	ENSG00000207180	RNU6-411P
15	ENSG00000266808	MIR548AE1
16	ENSG00000242170	RN7SL329P
17	ENSG00000199827	RNU6-1290P
18	ENSG00000199348	RNU6-766P
19	ENSG00000222705	RN7SKP39
20	ENSG00000206954	RNU6-1201P
21	ENSG00000239137	RF01210
22	ENSG00000207404	RF00019
23	ENSG00000284142	MIR6845
24	ENSG00000207693	MIR602
25	ENSG00000265694	MIR4774
26	ENSG00000266477	RN7SL616P
27	ENSG00000216060	MIR934
28	ENSG00000275127	SNORD116-22
29	ENSG00000274662	RN7SKP236
30	ENSG00000263669	RN7SL470P
31	ENSG00000277889	MIR8081
32	ENSG00000207588	MIR593
33	ENSG00000264092	RN7SL474P
34	ENSG00000202485	RNU6-499P
35	ENSG00000272080	MIR502
36	ENSG00000238628	RF01210
37	ENSG00000284149	MIR4784
38	ENSG00000252900	RNU6-303P
39	ENSG00000284596	MIR4467
40	ENSG00000238731	RNU7-90P
41	ENSG00000207617	MIR3074
42	ENSG00000201448	SNORA63C
43	ENSG00000207867	MIR514A3
44	ENSG00000277613	RF00026
45	ENSG00000240481	RN7SL38P
46	ENSG00000265932	MIR3146
47	ENSG00000201377	RNY4P23
48	ENSG00000221055	MIR1302-3
49	ENSG00000283863	MIR3960
50	ENSG00000257215	CR847794.2
51	ENSG00000244003	RN7SL143P
52	ENSG00000274115	MIR6081
53	ENSG00000238961	SNORA47
54	ENSG00000266415	MIR4636
55	ENSG00000215966	MIR876
56	ENSG00000206685	RNU6-1189P
57	ENSG00000207620	MIR516A2
58	ENSG00000276991	RF01877
59	ENSG00000272474	SNORD113-5
60	ENSG00000263967	MIR4290
61	ENSG00000202051	RNU6-382P
62	ENSG00000200063	RF00415
63	ENSG00000284570	MIR7705
64	ENSG00000278278	MIR6816
65	ENSG00000265641	MIR3929
66	ENSG00000199322	RNA5SP183
67	ENSG00000277049	RNA5SP530
68	ENSG00000275853	RF00017
69	ENSG00000199043	MIR335
70	ENSG00000207863	MIR125B2
71	ENSG00000201153	RNU6-371P
72	ENSG00000200779	RNU6-105P
73	ENSG00000266436	MIR4264
74	ENSG00000194717	MIR494
75	ENSG00000274228	RNA5SP414
76	ENSG00000207332	RNU6-146P
77	ENSG00000264069	MIR3943
78	ENSG00000244404	RN7SL216P
79	ENSG00000243383	RN7SL89P
80	ENSG00000199127	MIR383
81	ENSG00000278049	RF02218
82	ENSG00000275141	MIR6888
83	ENSG00000207234	RNU6-125P
84	ENSG00000244314	RN7SL36P
85	ENSG00000207632	MIR588
86	ENSG00000264864	MIR3613
87	ENSG00000222148	RNY4P30
88	ENSG00000206687	RNU1-109P
89	ENSG00000207741	MIR590
90	ENSG00000206938	RNU4-31P
91	ENSG00000284446	MIR1236
92	ENSG00000266187	RN7SL480P
93	ENSG00000284117	MIR6883
94	ENSG00000278108	MIR6757
95	ENSG00000207594	MIR520A
96	ENSG00000273519	RF00026
97	ENSG00000223229	RN7SKP270
98	ENSG00000264760	MIR3141
99	ENSG00000284008	MIR6511B1
100	ENSG00000207060	RNU6-480P
101	ENSG00000222416	RNA5SP274
102	ENSG00000207973	MIR589
103	ENSG00000273912	MIR8068
104	ENSG00000200262	RF00019
105	ENSG00000264809	RF00017
106	ENSG00000265322	MIR3118-2
107	ENSG00000266243	MIR4279
108	ENSG00000207394	RNU6-1060P
109	ENSG00000264747	MIR3924
110	ENSG00000252046	RNU6-150P
111	ENSG00000266721	MIR5695
112	ENSG00000244308	RN7SL762P
113	ENSG00000207554	MIR647
114	ENSG00000207811	MIR34B
115	ENSG00000264483	MIR5008
116	ENSG00000207097	RNU6-614P
117	ENSG00000207561	MIR635
118	ENSG00000201288	RNU6-1047P
119	ENSG00000200847	RF00019
120	ENSG00000207759	MIR181A1
121	ENSG00000283281	MIR7978
122	ENSG00000278591	RF00004
123	ENSG00000283320	MIR103B2
124	ENSG00000276588	RN7SL322P
125	ENSG00000207703	MIR7-2
126	ENSG00000207730	MIR200B
127	ENSG00000243510	RN7SL111P
128	ENSG00000263681	MIR3197
129	ENSG00000207198	RNU6-1195P
130	ENSG00000206923	RNU6-432P
131	ENSG00000271923	RNU6-86P
132	ENSG00000263964	MIR4509-3
133	ENSG00000264279	MIR4786
134	ENSG00000206671	RNU6-471P
135	ENSG00000264703	MIR4752
136	ENSG00000278267	MIR6859-1
137	ENSG00000277187	RN7SL268P
138	ENSG00000265284	MIR4770
139	ENSG00000252199	RF00156
